episode,reward,episode_length,epsilon,loss
0,50.0,168,0.9922931652094688,0.4177119731903076
1,0.0,150,0.9854622671079284,0.5220661163330078
2,0.0,133,0.9794448792665313,1.7457585334777832
3,0.0,115,0.9742715034065327,0.681181788444519
4,0.0,162,0.9670301172728718,0.809933066368103
5,100.0,175,0.9592680945759312,1.4259560108184814
6,50.0,136,0.9532789430273665,4.218179225921631
7,50.0,245,0.9425838621704916,5.772525310516357
8,100.0,150,0.9360951605041007,3.974268913269043
9,150.0,202,0.9274275653176943,2.166469097137451
10,0.0,170,0.9201952772713375,5.871106147766113
11,100.0,156,0.9136082233792095,7.05130672454834
12,100.0,155,0.9071100947401728,13.470952033996582
13,0.0,115,0.9023187873722643,16.22690200805664
14,0.0,150,0.8961072685311119,26.515457153320312
15,0.0,116,0.8913330291590895,21.340442657470703
16,0.0,176,0.8841378843172397,29.704978942871094
17,0.0,118,0.8793464203554406,40.57633590698242
18,100.0,166,0.8726498130869104,65.96849060058594
19,0.0,116,0.8680005492744911,78.35484313964844
20,0.0,151,0.8619855787057585,143.36575317382812
21,0.0,118,0.8573141661249611,113.57170104980469
22,0.0,128,0.8522754918677646,155.35400390625
23,50.0,153,0.8462915410756289,144.43661499023438
24,0.0,163,0.8399626982774332,216.87969970703125
25,50.0,135,0.8347568662342464,260.2862243652344
26,0.0,113,0.8304242061523156,253.04876708984375
27,50.0,122,0.8257717093186917,220.7244110107422
28,50.0,124,0.8210696515596295,307.1161193847656
29,100.0,184,0.8141417005707747,339.29998779296875
30,50.0,131,0.8092449538789062,390.5604248046875
31,0.0,117,0.8048964278752732,504.6719970703125
32,50.0,117,0.8005712689353625,652.76806640625
33,0.0,146,0.7952066440708725,656.728515625
34,0.0,104,0.7914072053994851,689.035400390625
35,0.0,103,0.7876621925149774,937.8651123046875
36,0.0,120,0.7833214154374524,750.3065185546875
37,0.0,120,0.779004560221121,1223.613037109375
38,100.0,163,0.7731789113029587,968.74755859375
39,50.0,115,0.7690950213364399,492.5412292480469
40,0.0,150,0.763800608449859,655.2083129882812
41,0.0,119,0.7596263129545539,1442.4886474609375
42,50.0,125,0.7552661140948065,2017.526123046875
