episode,reward,episode_length,epsilon,loss
0,50.0,168,0.9922931652094688,0.4214180111885071
1,0.0,150,0.9854622671079284,0.26919519901275635
2,0.0,133,0.9794448792665313,1.6549804210662842
3,0.0,115,0.9742715034065327,0.24416671693325043
4,0.0,162,0.9670301172728718,0.1884089708328247
5,100.0,175,0.9592680945759312,0.3630521893501282
6,50.0,136,0.9532789430273665,1.1262459754943848
7,50.0,245,0.9425838621704916,2.629838466644287
8,100.0,150,0.9360951605041007,0.8806580901145935
9,150.0,202,0.9274275653176943,0.4806514084339142
10,0.0,170,0.9201952772713375,0.9521035552024841
11,100.0,156,0.9136082233792095,1.0670435428619385
12,100.0,155,0.9071100947401728,1.6114232540130615
13,0.0,115,0.9023187873722643,2.152885675430298
14,0.0,150,0.8961072685311119,3.107469320297241
15,0.0,116,0.8913330291590895,2.0410923957824707
16,0.0,176,0.8841378843172397,2.6063003540039062
17,0.0,118,0.8793464203554406,3.1723499298095703
18,100.0,166,0.8726498130869104,6.877808570861816
19,0.0,116,0.8680005492744911,7.09859037399292
20,0.0,151,0.8619855787057585,10.523252487182617
21,0.0,118,0.8573141661249611,9.4796142578125
22,0.0,128,0.8522754918677646,10.979360580444336
23,50.0,153,0.8462915410756289,11.585253715515137
24,0.0,163,0.8399626982774332,16.691699981689453
25,50.0,135,0.8347568662342464,17.483478546142578
26,0.0,113,0.8304242061523156,19.341861724853516
27,50.0,122,0.8257717093186917,15.470508575439453
28,50.0,124,0.8210696515596295,22.144920349121094
29,100.0,184,0.8141417005707747,27.623538970947266
30,50.0,131,0.8092449538789062,30.5342960357666
31,0.0,117,0.8048964278752732,37.727867126464844
32,50.0,117,0.8005712689353625,48.66774368286133
33,0.0,146,0.7952066440708725,49.8260498046875
34,0.0,104,0.7914072053994851,42.61887741088867
35,0.0,103,0.7876621925149774,67.62898254394531
36,0.0,120,0.7833214154374524,52.68650817871094
37,0.0,120,0.779004560221121,91.64326477050781
38,100.0,163,0.7731789113029587,71.81056213378906
39,50.0,115,0.7690950213364399,54.38911437988281
40,0.0,150,0.763800608449859,80.40313720703125
41,0.0,119,0.7596263129545539,119.72627258300781
42,50.0,125,0.7552661140948065,202.0681915283203
43,50.0,160,0.7497215596874705,166.88734436035156
44,100.0,177,0.743635304565796,203.47048950195312
45,0.0,103,0.7401163527822222,145.74496459960938
46,50.0,117,0.7361392934377544,248.31300354003906
47,0.0,113,0.732318490686162,176.53240966796875
48,0.0,166,0.7267415653537931,209.6798858642578
49,0.0,119,0.7227698036021702,261.21881103515625
50,0.0,118,0.7188528518143723,289.4744567871094
51,150.0,194,0.712459201812767,273.71630859375
52,100.0,111,0.708826588786248,319.4763488769531
53,100.0,149,0.7039794795777238,301.5078125
54,0.0,146,0.6992621159065847,615.4295654296875
55,0.0,128,0.6951523575919908,489.6490478515625
56,0.0,119,0.6913532360375628,575.2054443359375
57,50.0,121,0.6875115522347824,405.92205810546875
58,0.0,99,0.6843842399195382,777.7725830078125
59,50.0,123,0.6805186001876663,704.54833984375
60,100.0,126,0.676581315310491,557.5015258789062
61,0.0,120,0.672852700820053,927.1788940429688
62,0.0,120,0.6691446345855359,1028.779052734375
63,0.0,119,0.6654876494994323,1320.4063720703125
64,0.0,124,0.6616982712359525,1804.2755126953125
65,50.0,159,0.6568708657584529,1339.0653076171875
66,0.0,105,0.6537022804330889,1193.7230224609375
67,50.0,125,0.6499500776866194,1499.2933349609375
68,0.0,101,0.6469340352379868,1397.260498046875
69,0.0,148,0.6425397500373016,2096.621826171875
70,0.0,121,0.6389693110465066,2109.850830078125
71,0.0,152,0.6345122338209384,1943.1571044921875
72,50.0,119,0.6310445204805023,2080.6162109375
73,0.0,154,0.6265850087018966,1795.6502685546875
74,0.0,113,0.6233328283785579,2032.9896240234375
75,0.0,141,0.6192984599180426,2104.54638671875
76,100.0,126,0.6157153771631834,1909.612060546875
77,50.0,162,0.6111390010925689,3424.56396484375
78,50.0,138,0.6072674454837312,2296.158203125
79,0.0,183,0.6021712267583124,3601.11865234375
80,0.0,128,0.5986320986550107,3176.1328125
81,50.0,117,0.5954153133848237,4944.0126953125
82,50.0,198,0.590010852485302,6842.2177734375
83,0.0,148,0.5860032167510559,3969.14794921875
84,100.0,157,0.5817816245125194,6420.92578125
85,0.0,154,0.5776702473863629,5981.94189453125
86,0.0,168,0.5732182382263509,5641.66064453125
87,100.0,185,0.5683554122696715,4929.47119140625
88,50.0,122,0.5651711701240703,8397.8154296875
89,0.0,173,0.5606863716147893,7156.20068359375
90,50.0,253,0.5541916780928464,4685.2099609375
91,0.0,118,0.5511883123276057,4423.013671875
92,0.0,161,0.547116736239398,9568.4501953125
93,0.0,123,0.5440264310128666,9048.255859375
94,100.0,237,0.5381210736248593,7406.490234375
95,0.0,168,0.5339738634131292,11545.779296875
96,0.0,155,0.5301759216197554,11444.5966796875
97,0.0,184,0.5257024487621536,11686.0859375
98,50.0,205,0.5207628558567894,11788.85546875
99,50.0,148,0.5172255856160667,10968.1982421875
100,100.0,151,0.5136413751250981,13910.453125
101,0.0,150,0.5101054927697319,9148.2626953125
102,50.0,180,0.5058945490902157,9778.32421875
103,100.0,340,0.49803515551123956,7231.841796875
